k,train_accuracy,test_accuracy
1,1.0,0.9666666666666667
3,0.9583333333333334,0.9333333333333333
5,0.975,0.9333333333333333
7,0.975,0.9666666666666667
9,0.9583333333333334,0.9666666666666667
11,0.9583333333333334,0.9666666666666667
13,0.9583333333333334,0.9666666666666667
15,0.9666666666666667,0.9666666666666667
